variant,S
20A.EU1,0.056158144642086
20A.EU2,0.085955593528694
20A.S.126A,0.0617575248227625
20A.S.210T,0.078856208031425
20B.S.732A,0.0395323304187003
20B.S.796H,0
20H.Beta.V2,0.0283688089835925
20I.Alpha.V1,0.0468545138814762
20J.Gamma.V3,0.0499705957401189
21A.21B,0.068548919676607
21A.Delta,0.0508805215602472
21A.Delta.S.K417,0.199890866790606
21B.Kappa,0.0274136991438601
21C.Epsilon,0.0604033981569585
21D.Eta,0.0393887748795082
21F.Iota,0.0351790327560435
21G.Lambda,0.0193041570246447
21H.Mu,0.0304104352557373
21I.Delta,0.0548418978966018
21J.Delta,0.061730328544831
21K.21L,0.140346117773227
21K.Omicron,0.148624031722626
21L.Omicron,0.137729930124939
22A.Omicron,0.198536293452527
22B.Omicron,0.200629059329923
22B22E,0.202369040781702
22C.Omicron,0.179025144131254
22D.Omicron,0.226129448280647
22E.Omicron,0.202114411965306
22F.Omicron,0.211946054699203
23A.Omicron,0.232566670347549
23B.Omicron,0.247590112130461
23C.Omicron,0.212247549374533
23D.Omicron,0.238233366843545
23E.Omicron,0.246281250979219
23F.Omicron,0.251760769192011
